EnterpriseName	Username	Headline	Password	Email	Role	AccType	ProfilePicture	CoverPhoto	EnterpriseDescription	CEO Headquarters Industry
Apple	highlandburning	This is the last random sentence I will be writing and I am going to stop mid-sent	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	bryanw@yahoo.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Google	frightensleek	The clock within this blog and the clock on my laptop are 1 hour different from each other.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	kiddailey@yahoo.com	user	enterprise			We have all your data\tDebbie Cobb\tNewark\tTechnology
Facebook	trimeankiosk	She folded her handkerchief neatly.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	timlinux@yahoo.com	user	enterprise			Random description\tJanet Elliott\tScottsdale, Arizona\tTechnology
Qualcomm	mercychildhood	I checked to make sure that he was still alive.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	gospodin@mac.com	user	enterprise			Another technology company\tAmelia Perez\tnOklahoma City\tTechnology
Airbnb	convexdishes	Lets all be unique together until we realise we are all the same.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	hityouwiththatdoodoo@gmail.com	user	enterprise			Hotels without hotels\t Jay Gutierrez\tCleveland\tTechnology
AT&T	vulnerablecurator	I often see the time 11:11 or 12:34 on clocks.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	euice@yahoo.com	user	enterprise			Calling someone\tMarcus Briggs\tHouston\tTechnology
JP Morgan	moosealbum	Wednesday is hump day but has anyone asked the camel if he’s happy about it?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	tedrlord@outlook.com	user	enterprise			Stealing money\tDuane Potter\tPittsburg\tBanking
Goldman Sachs	unzipornery	He didn’t want to go to the dentist yet he went anyway.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	tattooman@outlook.com	user	enterprise			More money stealing\tConnie Meyer\tOmaha, Nebraska\tBanking
Intel	stokeshingle	How was the math test?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	ajlitt@verizon.net	user	enterprise			Chip company\tIrvin Nichols\tBirmingham\tEngineering
Alphabet	drawingpecan	Where do random thoughts come from?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	cgreuter@me.com	user	enterprise			I own Google\tRoger Roger\tAurora\tVarious
Walmart	recyclingproven	She advised him to come back at once.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	lpalmer@optonline.net	user	enterprise			Buy anything\tAnne Harris\tColorado Springs\tRetail
Exxon Mobile	raidlung	The sky is clear; the stars are twinkling.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	dalamb@gmail.com	user	enterprise			Polluting everything\tBenjamin Harris\tGreensboro, NC\tOil
Berkshire Hathaway	unsoldmiserly	Wow does that work?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	phyruxus@sbcglobal.net	user	enterprise			I don't know what this is.\tIsaac Newton\tSacramento\tSomeIndustry
CVS Health	coarsefracture	He said he was not there yesterday; however many people saw him there.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	geekgrl@sbcglobal.net	user	enterprise			Pharmacy stuff\tAnna Moore\tBaltimore, Maryland\tPharmacy
Amazon	listeningsisters	Should we start class now or should we wait for everyone to get here?	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	gtewari@yahoo.ca	user	enterprise			Shop online.\tTim Cooke\tFresno, CA\tRetail
General Electric	atmospheresandblast	She wrote him a long letter but he didn't read it.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	phizntrg@gmail.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Boeing	shaftundress	He told us a very exciting adventure story.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	fglock@verizon.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
American Airlines	hulkingthus	Sixty-Four comes asking for bread.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	eminence@aol.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
IBM	sexypatriot	She only paints with bold colors; she does not like pastels.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	gknauss@att.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Citi	subwayplanet	We need to rent a room for our party.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	conteb@mac.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
American Express	starsfight	She works two jobs to make ends meet; at least that was her reason for not having time to join us.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	flakeg@sbcglobal.net	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
eBay	nobeliumknuckle	I am happy to take your donation; any amount will be greatly appreciated.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	pizza@live.com	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
Oracle	jackyardanger	The quick brown fox jumps over the lazy dog.	$2a$10$Nu72ZQxXhyN1xW8IOALqGOOXQCjDviKBpi9YVOdTETn4.C0d61Pyq	dkeeler@yahoo.ca	user	enterprise			We break things.\tTim Cooke\tSan Francisco\tTechnology
